,Artsy,Widewalls,artist_name,artist_website,artist_ins
0,2,281,Roy Lichtenstein,lichtensteinfoundation.org,https://www.instagram.com/roylichtenstein/?hl=en
1,12,2260,Josep Guinovart,,
2,13,103,Macha Poynder,www.machapoynder.com,https://www.instagram.com/macha_poynder/?hl=en
3,36,1954,Eddie Martinez,eddiemartinez.net,https://www.instagram.com/_eddiemartinez/?hl=en
4,37,1826,Louis Masai,louismasai.com,https://www.instagram.com/louismasai/?hl=en
5,38,892,Richard Serra,,https://www.instagram.com/richard.serra/?hl=en
6,41,866,Arthur Dorval,www.arthurdorval.com,https://www.instagram.com/arthur.dorval/?hl=en
7,43,1924,David LaChapelle,www.davidlachapelle.com,https://www.instagram.com/david_lachapelle/?hl=en
8,45,1770,Paul Gauguin,www.paul-gauguin.net,
9,58,1725,Cleon Peterson,cleonpeterson.com,https://www.instagram.com/cleonpeterson/?hl=en
10,90,1359,Jack Pierson,www.jackpiersonstudio.com,https://www.instagram.com/jackpierson9/?hl=en
11,91,2029,Arnaldo Pomodoro,www.fondazionearnaldopomodoro.it,
12,107,1090,Lady Pink,www.ladypinknyc.com,https://www.instagram.com/ladypinknyc/?hl=en
13,113,1338,George Condo,,https://www.instagram.com/george.condo/?hl=en
14,116,1822,Aya Takano,,
15,119,651,Ben Shahn,,
16,122,1811,Magnus Gjoen,www.magnusgjoenart.com,https://www.instagram.com/magnusgjoen/?hl=en
17,127,2118,Adam Lister,adam-lister-gallery.myshopify.com,
18,150,2038,Michael Goldberg,www.michaeljgoldberg.net,https://www.instagram.com/daniellegoldberg/?hl=en
19,151,2101,George Tooker,,
20,152,1282,Christopher Wool,wool735.com,https://www.instagram.com/christopher_wool/?hl=en
21,155,45,Josef Albers,www.albersfoundation.org,https://www.instagram.com/josef.albers/
22,157,50,Robert Indiana,robertindiana.com,https://www.instagram.com/robertindiana/?hl=en
23,159,1380,George Grosz,,
24,170,1829,Max Weber,www.maxweberstiftung.de,
25,179,2003,Carl Andre,www.carlandre.net,https://www.instagram.com/carl.andre.art/?hl=en
26,180,2201,Jo Di Bona,www.jodibona.com,https://www.instagram.com/jodibona/?hl=en
27,183,1084,Elmgreen & Dragset,www.elmgreengolfclub.ie,
28,191,410,Mattia Bosco,,
29,216,377,Efren Isaza,www.efrenisaza.com,
30,226,1857,Genieve Figgis,www.genievefiggis.com,https://www.instagram.com/genievefiggis/?hl=en
31,232,1313,Milton Avery,,
32,241,1741,Marino Marini,museomarinomarini.it,
33,243,1414,Leonardo Drew,,
34,248,1390,Carlos Cruz-Diez,cruz-diez.com,https://www.instagram.com/carloscruzdiez/?hl=en
35,251,1994,Yang Maoyuan,www.yangmaoyuan.com,
36,257,2100,Elizabeth Murray,elizabethmurrayart.org,https://www.instagram.com/elizabethmurrayart/?hl=en
37,258,2058,Rachel Whiteread,,
38,259,601,Joan Witek,www.joanwitek.org,
