,artist_name,artist_ins,artist_website,Correct INS?,Correct Web? 
0,Hebru Brantley,https://www.instagram.com/hebrubrantley/?hl=en,www.hebrubrantley.com,1,1
4,Miaz Brothers,https://www.instagram.com/miazbrothers/?hl=en,www.miazbrothers.com,1,1
14,Sandra Chevrier,https://www.instagram.com/sandrachevrier/?hl=en,www.sandrachevrier.com,1,1
18,Florian Eymann,https://www.instagram.com/florianeymann/?hl=en,www.florianeymann.com,1,1
22,Mr. Brainwash,https://www.instagram.com/mrbrainwash/?hl=en,www.mrbrainwash.com,1,1
63,Mau Mau,,www.mau-mau.co.uk,1,1
64,Yaacov Agam,https://www.instagram.com/yaacov_agam/?hl=en,,1,1
67,Swiz,,,1,1
94,Pure Evil,,pureevilgallery.com,1,1
100,Alec Monopoly,https://www.instagram.com/alecmonopoly/?hl=en,www.alecmonopoly.com,1,1
105,Paul Wackers,,www.paulwackers.com,1,1
107,Michael Goldberg,https://www.instagram.com/daniellegoldberg/?hl=en,www.michaeljgoldberg.net,1,1
119,Walter Robinson,https://www.instagram.com/walter_robinson/?hl=en,www.walterrobinsonart.com,1,1
122,Roni Horn,https://www.instagram.com/ronighorn/?hl=en,,0,1
123,Jeff Kellar,https://www.instagram.com/jeff.kellar/?hl=en,www.jeffkellar.com,1,1
126,Sheena Rose,https://www.instagram.com/sheenaroseinc/?hl=en,www.sheenaroseart.com,1,1
128,Purvis Young,,www.purvisyoung.com,1,1
139,Damien Hirst,https://www.instagram.com/damienhirst/?hl=en,,1,1
203,Bortusk Leer,https://www.instagram.com/bortuskleer/?hl=en,,1,1
209,Giorgio Morandi,,,0,1
210,Hans Burkhardt,,,1,1
211,Conor Harrington,,www.conorharrington.com,1,1
212,Arthur Dorval,https://www.instagram.com/arthur.dorval/?hl=en,www.arthurdorval.com,1,1
223,Onemizer,https://www.instagram.com/onemizer/?hl=en,www.onemizer.com,1,1
230,Lady Pink,https://www.instagram.com/ladypinknyc/?hl=en,www.ladypinknyc.com,1,0
232,Abraham Walkowitz,,,1,1
233,Peter Max,https://www.instagram.com/petermaxart/?hl=en,petermax.com,1,1
264,Shepard Fairey,,,1,1
308,Madeline Donahue,https://www.instagram.com/madelinedonahue/?hl=en,www.madelinedonahue.com,1,1
310,Gerhard Richter,https://www.instagram.com/gerhard.richter/?hl=en,www.gerhard-richter.com,1,1
317,Steven Alexander,https://www.instagram.com/stevenxalexander/?hl=en,www.stevenalexanderstudio.com,1,1
322,Max Papart,,,1,1
326,Matt Mullican,https://www.instagram.com/mattmullican/?hl=en,,1,1
328,Julie Peppito,https://www.instagram.com/juliepeppito/?hl=en,juliepeppito.com,1,1
341,Kurar,,kurar.fr,1,1
344,The Connor Brothers,,www.theconnorbrothers.com,1,1
363,Troika,,troika.uk.com,1,1
364,Jo Di Bona,https://www.instagram.com/jodibona/?hl=en,www.jodibona.com,1,1
368,The London Police,https://www.instagram.com/thelondonpolice/?hl=en,www.thelondonpolice.com,1,1
371,On Hansen,https://www.instagram.com/on_hansen/?hl=en,www.hansenpaintinginc.com,1,1
372,Julian Opie,,www.julianopie.com,1,1
403,Richard Anuszkiewicz,,www.richardanuszkiewicz.com,1,1
407,Paul Insect,https://www.instagram.com/paulinsect/?hl=en,www.paulinsect.com,1,1
417,Angelo Accardi,https://www.instagram.com/angeloaccardiartist/?hl=en,www.angeloaccardi.com,1,1
424,Norman Bluhm,,www.normanbluhm.com,1,1
432,Katrin Fridriks,https://www.instagram.com/katrinfridriks/?hl=en,katrin-fridriks.com,1,1
433,Idris Habib,,,1,1
435,Angel Otero,,angelotero.com,1,1
438,Buff Monster,https://www.instagram.com/buffmonster/?hl=en,www.buffmonster.com,1,1
,,,,47,48
