,id,color1,color2,color3,color4
0,photography560,#FFFFFF,#6E6F69,#DAD4BE,#9A968A
1,mixed-media1297,#151515,#9BC53F,#E5E5E3,#C74138
2,photography574,#F8F8F8,#949399,#D1D1D1,#68696E
3,prints1038,#FFFFFF,#C5963E,#E6E5A5,#E4B4B0
4,works-on-paper1080,#597739,#4F6942,#595731,#3B533D
5,prints1010,#FFFFFF,#000000,#FF5B2D,#212121
6,photography1225,#62635E,#B5B6B0,#8A8F88,#E4E1DC
7,mixed-media910,#090A0F,#CDC3CC,#057791,#EC7032
8,works-on-paper952,#FBEFDF,#CD9D55,#C3BAA9,#847464
9,prints1,#E5E5E5,#EB764A,#F08C41,#F3C04D
10,works-on-paper1094,#BFAF98,#DFDFDD,#A48F74,#6A5A4B
11,prints1004,#B7EBD5,#FFF0ED,#010103,#220E0F
12,mixed-media1240,#C5C3C6,#5F616E,#EFE9E9,#A3A2AA
13,mixed-media1254,#CED4D4,#262B31,#7D7E82,#41464C
14,prints409,#D0D0CE,#313133,#BEB4BF,#F5F4F0
15,mixed-media723,#040903,#FFFFFF,#656E75,#F1011A
16,prints421,#ADADAB,#D0D0CE,#878785,#363231
17,works-on-paper985,#FFFFFF,#000000,#8D8D8B,#555553
18,prints353,#6684CD,#413D7A,#4E53A7,#B1BCCE
19,works-on-paper749,#F6FAFB,#000000,#CBCFD0,#765319
20,works-on-paper1057,#73654B,#463D2C,#2B2620,#938467
21,prints804,#B9B5B2,#817E79,#3E3E3C,#000000
22,mixed-media1095,#93C6C1,#FAE7D9,#BFBFBD,#343432
23,painting707,#E27C66,#F4CF36,#11120C,#E2D5C4
24,photography986,#FCFCFC,#0D0D0D,#272727,#444444
25,photography992,#1A1B15,#F4F4F4,#60625D,#32352E
26,prints1206,#080808,#FFFFFF,#252525,#B9B9B9
27,works-on-paper1296,#C6BBB9,#ECE1DF,#A39896,#837876
28,prints179,#FEFEFE,#C72532,#1A3D97,#254085
29,painting934,#5F5848,#000013,#FFFFFF,#4C3C2D
30,works-on-paper239,#FDFDFD,#FA3093,#6C603A,#FDF995
31,photography951,#FFFFFF,#100B11,#C9C8B6,#1B2232
32,prints151,#35363A,#D0CCCD,#000004,#515254
33,works-on-paper47,#EFEAE4,#EBDBB9,#2C2220,#2B1A2C
34,photography616,#26252A,#414046,#5F5E64,#E9E9EB
35,prints964,#FE90A9,#F3EFEC,#BB629A,#FD7694
36,photography602,#000000,#FFFFFF,#2B2819,#C2C3BD
37,photography45,#FFFFFF,#868782,#2A2722,#A7A8A3
38,prints1428,#FFFFFF,#6D5A4C,#CBB6A5,#8E7B6D
39,works-on-paper53,#D7C5B7,#3A2D24,#070000,#61544B
40,photography164,#E2E2E0,#131091,#820318,#028CD5
41,works-on-paper1490,#F9F1DA,#FFFFFF,#252118,#D4CCB7
42,prints1366,#67BAE2,#FFD3EA,#FDE8F1,#3C2925
