id,artist_name
0,Tommy Francis Mitchell
1,Pier Paolo Calzolari
2,Roy Lichtenstein
3,Christian Boltanski
4,Damian Elwes
5,Paul Villinski
6,Henryk Stażewski
7,"Sanne De Wilde, "
8,Kasing Lung
9,Zhang Yirong 張藝蓉
10,Robert Philipp
11,Eberhard Havekost
12,Josep Guinovart
13,Macha Poynder
14,Ben Bauer
15,Yangyang Pan
16,Shinji Turner-Yamamoto
17,Rebecca George
18,Sophie Ryder
19,Nancy Eckels
20,Amy Kang
21,Ana Lupas
22,Alberto Burri
23,NYCHOS
24,Paulo Pasta
25,Audrey Kawasaki
26,Elad Lassry
27,Laurie Skantzos
28,Zhang Hongtu
29,Sali Muller
30,Armand Boua
31,Juan Raul Hoyos
32,Roy Schatt
33,Paul Strand
34,Chris RWK
35,Marlon Griffith
36,Eddie Martinez
37,Louis Masai
38,Richard Serra
39,RETNA
40,Joan Fontcuberta
41,Arthur Dorval
42,Taina Cruz
43,David LaChapelle
44,Alexandra Pacula
45,Paul Gauguin
46,Laurence Stephen Lowry
47,Stephane Gautier
48,Carl Auböck
49,Tony Oursler
50,Michael Heizer
51,Marcus Brutus
52,Liam Gillick
53,King Saladeen
54,Gerd Hiort Petersen
55,Dennis Osadebe
56,Rusudan Khizanishvili
57,Jacobo Castellano
58,Cleon Peterson
59,Lisette Model
60,Ken Matsuzaki
61,Pezhman
62,Paavo Tynell
63,Arne Jacobsen
64,Bjarne Melgaard
65,Renee Magnanti
66,Tamara de Lempicka
67,Eduardo Moreno
68,John McCaw
69,Grant Wood
70,Cristina Córdova
71,Jacoub Reyes
72,Claire Watson
73,DS
74,Gert & Uwe Tobias
75,Beatrix Potter
76,Fernando Adam
77,POSE
78,Lisa Levy
79,Túlio Pinto
80,Beth Carter
81,Ernst Ludwig Kirchner
82,Isaiah Zagar
83,Sergio Lopez
84,Juan Downey
85,Tommy Zen
86,Suly B. Wolff
87,John Singer Sargent
88,Adela Akers
89,Shaina McCoy
90,Jack Pierson
91,Arnaldo Pomodoro
92,Roland Fischer
93,Glithero
94,Thomas Glassford
95,Suh Yongsun
96,Makiko Kudo
97,Karl Schmidt-Rottluff
98,Yvonne Robert
99,Ethel Spears
100,MILLS EMPRESS Juke-Boxe
101,Jean Girel
102,Jung Eun Ha
103,House of Fabergé
104,Christina Schou Christensen
105,Tina Modotti
106,Elliott Erwitt
107,Lady Pink
108,Frédéric Deprun
109,Rebecca Marimutu
110,RO/LU
111,Erin Armstrong
112,Bob Dylan
113,George Condo
114,Simphiwe Ndzube
115,Stefanie Schneider
116,Aya Takano
117,Martin Schlotz
118,Jefferson Hayman
119,Ben Shahn
120,Martin Creed
121,Antonio da Ros
122,Magnus Gjoen
123,Peter Klasen
124,Spencer Mar Guilburt
125,Lukas Wegwerth
126,René Gagnon
127,Adam Lister
128,Jimi Gleason
129,Renate Bertlmann
130,Ben Estes
131,Fabio Coruzzi
132,Chris Rivers
133,Fred Stein
134,Laure Prouvost
135,ELLE
136,Danielle Orchard
137,Maddie Yuille
138,Julian Mayor
139,Jacob Gils
140,AMALIA BUERGO
141,Erik Parker
142,Pierre Fichet
143,Amauri Torezan
144,Kevin McGarry
145,Jesus Harada
146,Renato Livi
147,Timo Sarpaneva
148,Gerold Miller
149,Wilson Irvine
150,Michael Goldberg
151,George Tooker
152,Christopher Wool
153,Daggi Wallace
154,Anja Van Herle
155,Josef Albers
156,James Abbott McNeill Whistler
157,Robert Indiana
158,Lorser Feitelson
159,George Grosz
160,William Bailey
161,William Sellers
162,Carlo Scarpa
163,George Rickey
164,Marcel Rozek
165,Parra
166,Illuminati Neon
167,Lita Albuquerque
168,Franz Anton Mehlem
169,Paul Klee
170,Max Weber
171,Ian Francis
172,Ian Davenport
173,Anthony Caro
174,Philippe Hiquily
175,Helen Beard (b. 1971)
176,Juergen Teller
177,Adam Neate
178,Craig Alan
179,Carl Andre
180,Jo Di Bona
181,Afarin Sajedi
182,Annabelle McEwen
183,Elmgreen & Dragset
184,Pierre Paulin (1927-2009)
185,Art Shay
186,Ronald Davis
187,Taeesha Muhammad
188,Guy Yanai
189,Pascale Marthine Tayou
190,Stephen Ormandy
191,Mattia Bosco
192,Matt Smith (British)
193,Tom Molloy
194,César
195,Lee Wagstaff
196,Fred Tomaselli
197,Jacky Tsai
198,Robert Combas
199,jagaichiro
200,Paige Bradley
201,Andreas Feininger
202,nendo
203,Jacques-Henri Lartigue
204,Slim Aarons
205,Louis Comfort Tiffany
206,Eric Orr (1939-1998)
207,Neeltje de Vries
208,Blair Thurman
209,Chris Gwaltney
210,Nobuko Sugio
211,Aboudia
212,Steve Rosendale
213,Julio González
214,Wang MengSha 王濛莎
215,Tobia Rava
216,Efren Isaza
217,Carlos Santiago
218,Camilla d'Errico
219,Jana Schröder
220,Eric Haze
221,Pauline Palmer
222,Fang Lijun 方力钧
223,Anthony Akinbola
224,Ben Jones
225,Equipo Crónica
226,Genieve Figgis
227,Kandis Williams
228,Jonathan Michael Ray
229,Iñigo Navarro
230,Willard Boepple
231,Michel Delacroix
232,Milton Avery
233,Alan Saret
234,Hanne Darboven
235,Henri-Gabriel Ibels
236,Abe Ajay
237,LA II (Angel Ortiz)
238,Dario Fo
239,Ugo Nespolo
240,Francesco Arena
241,Marino Marini
242,Daniel Cummings
243,Leonardo Drew
244,Bernard Chaet
245,Christo
246,Rachel de Joode
247,Gerado Rosales
248,Carlos Cruz-Diez
249,Yuki Hamano
250,Digital Kassy Kaori
251,Yang Maoyuan
252,Albarrán Cabrera
253,Xiaoyi Chen
254,Bernard Berthois-Rigal
255,Kim Dorland
256,Sarah Svetlana
257,Elizabeth Murray
258,Rachel Whiteread
259,Joan Witek
260,Bernd and Hilla Becher
261,Adolph Gottlieb
262,Kimiko Yoshida
263,5537 Fernando Holguin Cereceres
264,Thomas Struth
265,Barry Lategan
266,Orrible
267,Judy Ledgerwood
268,Bradley Wood
269,Tony Marsh
270,Robert Nava
271,Gregory Block
272,Sophie DeFrancesca
273,Rashaad Newsome
274,Muzae Sesay
275,Dean West
276,Jacques-Emile Ruhlmann
277,Justine Rivas
278,Jess Wilson
279,Pez
280,Julie Cockburn
281,Tom Jean Webb
282,Yaacov Agam
283,Eri Ota
284,Bharti Kher
285,Sebastian Black
286,Sterling Ruby
287,H.C. Westermann
288,Carlos Vega
289,Michal Rovner
290,Betsy Enzensberger
291,Christopher Makos
292,Ossip Zadkine
293,William-Adolphe Bouguereau
294,The Connor Brothers
295,Ricky Swallow
296,Oli Epp
297,Daniel Lergon
298,Sheena Rose
299,Nam June Paik
300,Francine Tint
301,Chakaia Booker
302,George Barris
303,Oliver Clegg
304,Daniele Fortuna
305,Honoré Sharrer
306,Faith Ringgold
307,Eduardo Sarabia
308,Juan Uslé
309,Cas Friese
310,Simon Norfolk
311,Eugène Atget
312,Cheryl Molnar
313,Alessandro Mendini
314,Enrico Baj
315,Claes Oldenburg
316,Agnieszka Staak
317,Leonor Fini
318,Bridget Riley
319,Tom Seghi
320,Claire Milbrath
321,Yoshitomo Nara
322,Yves Hayat
323,Carole Eisner
324,Hans-Christian Schink
325,Tsai Hsia Ling
326,Kirsty Stanton
327,Bob Stuth-Wade
328,Greta Van Campen
329,Sabine Marcelis
330,Nastaran Mir Sadegh
331,Casey Gray
332,Viktor Frešo
333,Robert Barry
334,Gregory Nangle
335,Joanne Greenbaum
336,Yann l'Outsider
337,Richard Misrach
338,Benjamin Rollins Caldwell
339,Mambo
340,Herbert Brandl
341,Max Lamb
342,Steven Harrington
343,Valeria Rocchiccioli
344,Mary Bauermeister
345,Bradley Hart
346,John Chamberlain
347,Angelo Lelii
348,Kayoko Mizumoto
349,Miles Aldridge
350,Sandro Chia
351,Pucci de Rossi
352,Alec Soth
353,Pablo Picasso
354,Regina Scully
355,Death NYC
356,Johan Creten
357,Alvar Aalto
358,Angelina Nasso
359,Javier León Pérez
360,Vivian Liddell
361,Tanya Merrill
362,Geneviève Claisse
363,Joel-Peter Witkin
364,Achille Salvagni
365,Charlie Bluett
366,Jonas Fisch
367,Olivier Mosset
368,Gertrude Käsebier
369,Sabrina Shah
370,Jono Dry
371,Tomoo Gokita
372,Adolf Loos
373,Hunt Slonem
374,Emily Farish
375,Justin Yoon
376,Anja Wülfing
377,Kate Salenfriend
378,Ettore Sottsass
379,Mar Solís
380,Susan Vodonick
381,Frantisek Drtikol
382,Kapwani Kiwanga
383,Francois Corbeau
384,Friedrich Gräsel
385,Bruno V. Roels
386,Joan Hernández Pijuan
387,Deborah Butterfield
388,Amrta
389,Add Fuel
390,Agostino Bonalumi
391,Koh San Keum
392,Francesca Woodman
393,Frederik Nystrup Larsen
394,Florence Putterman
395,Anselm Reyle
396,Leo Sewell
397,Jürgen Drescher
398,Oshiyama Motoko
399,Angela A'Court
400,Leonardo Nierman
401,Line Vautrin
402,Abdulnasser Gharem
403,Vicente Hemphill
404,Carlo Mollino
405,John Marin (1870-1953)
406,DAUM Nancy
407,JJ Manford
408,Buff Monster
409,Ian Alistair Cochran
410,Chris DAZE Ellis
411,EL MAC
412,Pol Bury
413,Gordon Parks
414,Takayuki Sakiyama  崎山隆之
415,Tomas Watson
416,Anne Speier
417,Ezra Stoller
418,José Parlá
419,Alexander Ikhide
420,Pablo Palazuelo
421,Chen Chen and Kai Williams
422,Oeuffice
423,Martin Parr
424,Hara Satoshi
425,Mel Bochner
426,Francesco Messina (1900-1995)
427,Peter Dayton
428,Daniel Arsham
429,Wolf Vostell
430,Steven Spazuk
431,Luc Dondeyne
432,Mahsa Alikhani
433,LAb[au]
434,Rebecca Fontaine Wolf
435,Paul Anthony Smith
436,Cindy Sherman
437,Hreinn Fridfinnsson
438,James Zamora
439,"Shepard Fairey, "
440,Barbara Bryn Klare
441,General Idea
442,Kevin Sabo
443,Marcus Kenney
444,Kattamanchi Ramesh Babu
445,Andrew Salgado
446,Juwelia
447,Tamara Dean
448,Unknown Artist
449,Els Van Egeraat
450,Corneille
451,Nina Chanel Abney
452,Ann Shogren
453,Mia Westerlund Roosen
454,Amedeo Modigliani
455,Domingo Zapata
456,Sooo-z Mastopietro
457,Alissa Volchkova
458,Kehinde Wiley
459,B.D. Graft
460,Hiro Ando
461,James Jean
462,Julio Le Parc
463,Ade Adesina
464,Abraham Walkowitz
465,Nancy Maybin Ferguson
466,CHANOIR (Alberto Vejarano)
467,Felipe Orlando
468,Alexander Sheversky
469,Monica Fernandez
470,David Ellsworth
471,Alfred Eisenstaedt
472,Edison Çeraj
473,David Drebin
474,Eva Schlegel
475,Bernard Heesen
476,Oscar Niemeyer
477,Gustave Wiegand
478,Hunter & Gatti
479,Frances Goodman
480,Joe Segal
481,Eko Nugroho
482,Matias Faldbakken
483,Ibsen Espada
484,Antoni Clavé
485,Justin Ebanda
486,Markus Lüpertz
487,Alfredo Jaar
488,Julie-Ann Simpson
489,Norberto Estrin
490,George Tice
491,Mesecolja
492,Antonio López García
493,Fanakapan
494,Lauren Baker
495,Nadia Fediv
496,Madeleine Gross
497,Sandeep Manchekar
498,David Quinn
499,Jean-Marc Hunt
500,Takefumi Hori
501,Emil Schumacher
502,Mia Bergeron
503,Michelle Grabner
504,Miss Van
505,Jeremy Thomas
506,Olga Esther
507,Pavlína Kvita
508,Li Hongbo 李洪波
509,Joan Miró
510,Edward Burra
511,Tenesh Webber
512,Russell Maltz
513,Yoon Hyup
514,Emil Alzamora
515,Leonora Carrington
516,Jean Prouvé
517,Juan Carlos Collada
518,Samara Scott
519,Hideki Hashimoto (橋本 秀樹)
520,Anne Silke Hjorth
521,Antoni Miralda
522,Howard Hodgkin
523,Hannah Wilke
524,Emile Gallé
525,Jochen Holz
526,Graciela Iturbide
527,Brad Miller
528,Jisbar
529,Yasuo Kiyonaga
530,Katarina Janeckova
531,Michael E. Smith
532,Zest
533,Heidi Kippenberg
534,Harold Joe Waldrum
535,Philippe Decrauzat
536,Brian Usher
537,Lloyd Raymond Ney
538,Lily Hargreaves
539,Nicole Durand
540,wancha
541,Rocío Rodriguez
542,Doug Cocker
543,Stephanie McGovern
544,Wendell Castle
545,Wawapod
546,Soraya French
547,Bruno Donzelli
548,François Rouan
549,Lin Ke 林科
550,Scott Albrecht
551,Ansel Adams
552,John Baldessari
553,Gilbert and George
554,Larry Bell
555,Lori Cozen-Geller
556,Ali Banisadr
557,Sorin Park
558,Giuliana Cunéaz
559,Allen Jones
560,Sol LeWitt
561,Mona Hatoum
562,Mari Kuroda
563,Mr Doodle
564,Karin Bruckner
565,Amy Sillman
566,Jimmie Durham
567,John Copeland
568,Mika Rottenberg
569,Amy Jackson (b. 1986)
570,Yigal Ozeri
571,Ross Bleckner
572,Remen Chopra W. Van der Vaart
573,Nicole Eisenman
574,Alfredo Quiroz
575,Rodney Graham
576,Maya Ramsay
577,Félix Gerardi
578,Alberto Magnelli
579,Jim Torok
580,Jeremy Deller
581,Nicole Wermers
582,Mighty Jaxx
583,Clarence James
584,Zeng Fanzhi 曾梵志
585,Andreas Schelfhout
586,Tomokazu Matsuyama
587,Ralf Kokke
588,Ivan Argote
589,Heather Lynn
590,Jonathan Huxley
591,Gisele Freund
592,Victor Brauner
593,Kukula
594,Ben Frost
595,Paul Wright
596,Lyès-Olivier Sidhoum
597,Sophie Pérard
598,Ly
599,Yudai Nishi
600,Daido Moriyama
601,Giorgio Griffa
602,Georges Dumas
603,Reiner Seliger
604,Erika Wastrom
605,Kim MacConnel
606,Gio Ponti
607,Roger Hiorns
608,"David Shrigley, "
609,Moe Brooker
610,Peter Miller
611,Ai Weiwei
612,Lídia Masllorens
613,Otis Kwame Kye Quaicoe
614,Jon Pacini
615,Menashe Kadishman
616,Lina Bo Bardi
617,Stan Bevan
618,Arthur Leipzig
619,Mircea Cantor
620,Alphonse Mucha
621,Fletcher Benton
622,Nan Goldin
623,Marisol
624,Gary James McQueen
625,Carlos Aires
626,Alison McMahon
627,"Lotta, "
628,Ben Vautier
629,Dion Salvador Lloyd
630,Filippo Minelli
631,Sébastien Gaudette
632,Kevin Osepa
633,Edward Weston
634,Vasco Araújo
635,Roberto Matta
636,Vasile Stefanoiu
637,Ico Parisi
638,Seny
639,Wolfgang Tillmans
640,Albert Montserrat
641,"Michael, Sage Muller, Vaughn"
642,Bob Stocksdale
643,David Shapiro (1944-2014)
644,Thina Dube
645,Heather Patterson
646,Haylie Jimenez
647,Kat Flyn
648,Claude Monet
649,Henrik Eiben
650,Vija Celmins
651,Mila Bridger
652,Pat Perry
653,Mohamed Benhadj
654,Stuart Haygarth
655,Ed Moses
656,Jessica Lichtenstein
657,Yuli Yamagata
658,Horace Bristol
659,Valentina Canseco
660,Jim Shaw
661,Gustav Klimt
662,Ruby Anemic
663,BENI ALTMUELLER
664,Tunji Adeniyi-Jones
665,Brittany Fanning
666,Neo Matloga
667,Philip and Kelvin LaVerne
668,Emanoel Araujo
669,C215
670,Jean-Luc Maniouloux
671,Marc Chagall
672,Koak
673,Edgar Ward
674,Grace Metzler
675,Chitra Ganesh
676,Noriko Ambe
677,Caleb Hahne Quintana
678,Amit Kanfi
679,Per Kirkeby
680,Alexander Tovborg
681,Henri Hayden
682,Tomaso Buzzi
683,Richard Colman
684,Alanis Forde
685,Alfred Leslie
686,Cameron Platter
687,Teppei Kaneuji
688,Pure Evil
689,Francesco Nonni
690,Magnus Plessen
691,Josef Hoffmann
692,Kiki Smith
693,Roy De Forest
694,Martin Whatson
695,OG Slick
696,Jessica Snow
697,Lucinda Luvaas
698,Olivier Vassout
699,Greet Helsen
700,Takashi Murakami
701,Javier Calleja
702,Stephan Balkenhol
703,William Morris (b. 1957)
704,Malena Mazza
705,Al Held
706,Lauren Marsolier
707,Federica Aiello Pini
708,Brianne Garcia
709,Craig Drennen
710,Ercole Barovier
711,Reginald Marsh
712,Laura Letinsky
713,Seth
714,Josh Sperling
715,Noell
716,Elizabeth Peyton
717,K. Daphnae Koop
718,Stuart Sandford
719,Joe Zucker
720,Szabolcs Bozó
721,Käthe Kollwitz
722,Gully
723,Silvia Schürgers
724,Patricia Voglreiter
725,Hans Munck Andersen
726,Fritz Scholder
727,Peter Max
728,Maru Quiñonero
729,Jules de Balincourt
730,Hiba Schahbaz
731,On Hansen
732,Giorgio Cavallon
733,Garry Fabian Miller
734,Allison Harrell
735,Erté
736,Genevieve Gaignard
737,Shar Coulson
738,Elizabeth Waggett
739,Walter Robinson
740,Alexander Calder
741,Ferne Jacobs
742,Erik Jones
743,Paul Wackers
744,Clayton Brothers
745,Marie Cloquet
746,Zayn Qahtani
747,Franz West
748,Hank Willis Thomas
749,Gustavo Velez
750,Keith Jacobshagen
751,Josiah C Josiah
752,Gavin Turk
753,Modest Cuixart
754,Claudia Fontes
755,The Beatles
756,Mark Maggiori
757,Sarah McRae Morton
758,Hayal Pozanti
759,Maurizio Galimberti
760,Marcel Mariën
761,FX Harsono
762,Carlo Hauner
763,Farzad Kohan
764,Soufiane Ababri
765,Maree Cheatham
766,Donald Baechler
767,Mathieu Mercier
768,NEBAY
769,Fulvio Bianconi
770,Max Ackermann
771,Gonzalo Fuenmayor
772,Alfred Kubin
773,Lena Wolff
774,Paco Raphael
775,The London Police
776,Hikari Shimoda
777,Dina Brodsky
778,Jérôme allavena
779,Jagdish Swaminathan
780,David Moreno (b.1978)
781,Markus Prachensky
782,Maxwell Boadi
783,Conny Goelz Schmitt
784,Ai Kijima
785,Shafei Xia
786,Rose Eken
787,Nell Blaine
788,SoiL Thornton
789,Fei Disbrow
790,Shingo Francis
791,Yousuf Karsh
792,Wifredo Lam
793,Nawar Shartouh
794,Mika Ninagawa
795,Fin DAC
796,José Luis Feliciano
797,Matt Hufford
798,Paul Kostabi
799,Tokuda Yasokichi IV
800,Françoise Leblanc
801,Andrew ZEPHYR Witten
802,Winfred Gaul
803,Emilio Villalba
804,RISK
805,Edgar Plans
806,Edward Burtynsky
807,Indira Urrutia
808,Kenichi Yokono
809,Hubert Le Gall
810,Copyright
811,Victor Valera
812,Peter Hujar
813,Linda Touby
814,Paul Booth
815,Rodney Smith
816,Omar Rodriguez-Graham
817,Andrea Dezsö
818,Camille Pissarro
819,Niura Bellavinha
820,Kurt Schwitters
821,Woodrow Nash
822,Toots Zynsky
823,Rowan Mersh
824,Tony Cragg
825,Matthew F. Fisher
826,Loris Cecchini
827,Wang Tiande 王天德
828,Glynis Lamond
829,Stefano Caimi
830,Art by Lingg
831,Adam Holmes Davies
832,David Mach
833,Lucian Freud
834,Louise Nevelson
835,Philipp Weber (b. 1987)
836,Michelangelo Pistoletto
837,Marina Abramović
838,Mario Ceroli
839,Juno Calypso
840,Dimitris Ntokos
841,Mira Lehr
842,Nobuyoshi Araki
843,Pamela Pindell
844,Vasa
845,Richard Mosse
846,Nick Smith
847,Urs Lüthi
848,Stuart Shils
849,Glen Baxter
850,Cheryl Calleri
851,Antonio Sergio Moreira
852,Curtis Talwst Santiago
853,Wim Zorn
854,Young-Jun Tak
855,Dorothea Rockburne
856,Joseph Kosuth
857,Lori Field
858,Anne Mette Hjortshøj
859,Mark Beard
860,Peter Lik
861,Troy Brauntuch
862,Loetz
863,Anthon Hoornweg
864,Takeru Amano
865,Brian Kreydatus
866,William Klein
867,Greg Miller
868,Alicia McCarthy
869,Jeanne Heifetz
870,Tomoko Nagai
871,Pablo Atchugarry
872,Cruz Ortiz
873,Stan Brodsky
874,Joe Tilson
875,Günther Uecker
876,Erol Eskici
877,Celeste Iida
878,Peter Blake
879,Julie Peppito
880,Giuseppe Spagnulo
881,Adrian Kay Wong
882,Serge Mouille
883,Adam Pendleton
884,Imaizumi Imaemon XIV
885,David Shrigley
886,John Garrett Slaby
887,Herakut
888,MR Architecture + Decor
889,Carol Sils
890,Curtis Ripley
891,Klára Horáčková
892,Ed Paschke
893,Madeline Donahue
894,Matteo Massagrande
895,Patrick Weder
896,Aches
897,André Butzer
898,Liz Barber
899,Francis Newton Souza
900,Gudrun Mertes-Frady
901,Papa Boubacar
902,Jun Ahn
903,Devesh Upadhyay
904,Michael Reeder
905,Karl Buehr
906,Souther Salazar
907,William Scott (1913-1989)
908,Ewa Juszkiewicz
909,Maja Djordjevic
910,Henry Moore
911,Choun Hwan Lee
912,Thomas Müller
913,Edward Middleton Manigault
914,Jack Roth
915,Tony Tasset
916,Aldo Chaparro
917,Misaki Kawai
918,Mitzura Salgian
919,Susan Derges
920,Evol
921,Graffmatt
922,Jan Henderikse
923,Katharina Fritsch
924,Tom A. Nicholas
925,Sonia Delaunay
926,Paul Allen Reed
927,Yevgeniya Baras
928,Jordan McDonald
929,Fiona Rae
930,Tim Hawkinson
931,Maria Passarotti
932,Margaret Morrison
933,Jason Salavon
934,Jason Martin
935,Sidney Nolan
936,Rudolf Stingel
937,Iván Navarro
938,SAYPE
939,Blake Jones
940,Capucine Safir
941,Revok
942,Karo Kuchar
943,Max Burchartz
944,Florence Knoll
945,Richard Hutten
946,CB Hoyo
