,artist_names,artist_bios
0,Javier Rey,Columbian photographer Javier Ray creates works that explore the sensuality of the male body and the repeated elements of urban cities.
1,Hunter & Gatti,"Hunter & Gatti is a creative duo consisting of Cristian Borillo and Martin Cespedes, known for their innovative outlook on art, film, and photography."
2,Markus Klinko,"Markus Klinko is an award-winning celebrity photographer and director, who has worked with many eminent movie and fashion stars.
"
3,Terry O'Neill,"Terry O'Neill was an English photographer. He gained renown documenting the fashions, styles, and celebrities of the 1960s."
4,Arslan Sukan,"Trained in interior architecture and photography, Arslan Sükan is a Turkish artist who tackles ideas that question the limitations of human perception."
5,Silvana Soriano,Silvana Soriano is a Brazilian artist who considers narrative as the main idea in her work. Line and gesture also play an important role.
6,Raymond Hendler,"An American action painter, Raymond Hendler created a unique style of abstract pictograms that blend a personal language with hints at figuration."
7,Walter Darby Bannard,"Walter Darby Bannard was an American abstract painter, notable curator and writer on art. 
"
8,Tyler Shields,"Tyler Shields is a Los Angeles-based photographer, film director and writer best known for his provocative images of Hollywood celebrities. 
"
9,Dan Christensen,"Dan Christensen was an American abstract painter associated with Color Field painting, Lyrical Abstraction and Abstract Expressionism.
"
10,Franck de las Mercedes,"Franck de las Mercedes is a Nicaraguan/American artist influenced by abstract expressionism, rock carvings, neo-expressionism, and Nicaraguan primitivism."
11,Kyriakos Kaziras,"Heavily influenced by painting and considering cameras as his paintbrushes, Kyriakos Kaziras is a Greek photographer known for his pictorial approach."
12,David Yarrow,"David Yarrow is a British photographer, an ex-businessman, now famous for his black and white images of endangered animals and remote landscapes."
13,Uwe Ommer,Uwe Ommer is a German photographer. His biggest project was based on the idea of documenting all types of families on every continent.
14,Joan Miro,"A Spanish artist of great critical acclaim, Joan Miro was one of the key representatives of Surrealism that refused to identify himself as such.
"
15,Manuel Santelices,"Manuel Santelices is a Chilean artist and journalist who explores the worlds of fashion, society and pop culture. He lives and works in New York."
16,David Shrigley,"David Shrigley is a Glasgow-based British artist best known for his illustrations that make satirical comments on mundane situations.
"
17,Horst P. Horst,"Widely known for his fashion-related photos and Vogue association, Horst P. Horst is one of the monumental photographers of the 20th century.
"
18,Jose Sierra,Jose Sierra is a Colombian artist whose body of work continues to be based around his self-representation from which he addresses a homoerotic gaze.
19,Andrew Prokos,Andrew Prokos is an American fine art photographer whose works incorporate architectural elements and sweeping natural and urban views.
20,Caroline Christie,"Caroline Christie is a Scottish-born contemporary painter and photographer, best known for her photographs of wild horses."
21,Mauricio Velez,Mauricio Velez is a Colombian photographer whose images are meant to refine the sensitivity and perception of the viewer towards art and the human body.
22,Roy Ahlgren,"Roy Ahlgren was an American abstract artist whose compositions were unique with many being mathematically constructed with considerable precision.
"
23,Ann Purcell,"An American abstract artist, Ann Purcell works within tensions of paradox, ambiguity, duality and contradiction, while focusing on the working process."
24,Eric Dever,"Eric Dever initially used a limited color palette and tight grids, later introducing the entire color spectrum and loose shapes into his work.
"
25,Leslie Sheryll,"Leslie Sheryll is an American artist who explores female identity in a male-centric society, often incorporating nineteenth-century history and symbolism."
26,Jimmy Nelson,"Jimmy Nelson, born in Sevenoaks, Kent, in 1967, is a British photojournalist and photographer known for his portraits of tribal and indigenous peoples."
27,Aurora Molina,Aurora Molina is a Cuban fiber artist whose recent work has become more political because of the hyper politicization of our environment today.
28,Randal Ford,"Believing the simplicity is the ultimate sophistication, Randal Ford is an American photographer best known for his studio portraits of animals."
29,Ricky Cohete,"Born in a coastal city in Ecuador, Ricky Cohete mainly grew up in Miami. He was inspired to explore photography due to mesmerizing Florida's lights."
30,Alice de Kruijs,"Alice de Kruijs is a Dutch fine-art photographer who explores the subject of identity and diversity, aiming to go against the standard ideals."
31,Miguel Winograd,"Miguel Winograd is a Colombian photographer whose work explores the relationship between people and their environment, and narratives of social conflict."
32,Thomas Ruff,"Thomas Ruff is a German artist internationally acclaimed for his explorations of photography in serial works, portraits, and, most recently, digital images. 
"
33,Andy Warhol,"Andrew Warhola, better known as Andy Warhol, was one of the most significant American artists and a central figure in the Pop Art movement."
34,Naomi White,"Naomi White is an American abolitionist feminist, artist, and educator, working on ideas at the intersection of political ecology and photography."
35,Pablo Picasso,"One of the most known artists of the 20th century, Pablo Picasso marked the artistic history with his prolific pieces varying in style and technique."
36,Md Tokon,Md Tokon is a Bangladesh-born and New York-based contemporary painter whose works are purely abstract and have a great touch of impressionism.
37,Chad Kleitsch,"Chad Kleitsch is an American photographer and educator. He has taught Photography at Bard College, Yale University, and Sarah Lawrence College."
38,KAWS,"Brian Donnelly aka KAWS is an American artist best known for designing limited edition toys and clothing, inspired by the iconic pop culture characters.
"
39,Andrea Bonfils,"Andrea Bonfils is an American artist whose practice includes mixed media, photography, and encaustics and is driven by a desire to evoke sensation."
40,Christos J. Palios,"Raised as a first-generation Greek/American, Christos J. Palios is a photographer whose personal perspectives were forger by two distinct cultures."
41,Kyong Lee,"Kyong Lee is a Korean abstract artist whose work reconciles physical and emotional realities through an exploration of color, material, process, and form.
"
42,Salvador Dali,"Salvador Dali was a Spanish Surrealist painter, one of the most famous, interesting, eccentric and talked-about personalities in the art history.
"
43,Magda von Hanau,"Magda von Hanau is a Brazilian artist who works in drawing, photography, installations, and sculpture; spanning movements, mediums, and cultures."
44,Natasha Zupan,"Natasha Zupan is an American artist whose work explores the manipulation of surface texture, light and the interweaving of time."
45,Mel Ramos,"Mel Ramos was an American Pop artist most famous for his comic-book and pin-up style images and sculptures of naked, voluptuous females."
46,Peter Andrew Lusztyk,Peter Andrew Lusztyk is a Canadian artist who uses photography to turn ordinary and overlooked things into something beautiful and full of details.
47,Josef Albers,"Josef Albers was a German painter and color theorist, known for Homage to the Square, a series of paintings exploring the artistic language of colors.
"
48,Guilherme Licurgo,"Guilherme Licurgo is a Brazilian photographer. He was invited to model for Terry Richardson for his book ""Terry Richardson Rio Cidade Maravilhosa"" in 2008."
49,Khotan Fernandez,"Khotan Fernandez is a Mexican contemporary artist working in several disciplines – painting, drawing, sculpture, and installation."
50,Margaret Morrison,"Margaret Morrison is an American artist, best known for her paintings which fuse still life, elements from figurative art and subjects of surrealism."
51,Robert Indiana,"One of the leading figures in American art since the 1960s, Robert Indiana played a pivotal role in the growth of assemblage art, hard-edge painting and Pop Art.
"
52,Hunt Slonem,"Hunt Slonem is an American painter, sculptor, and printmaker. He is best known for his Neo-Expressionist paintings of tropical birds, often based on a personal aviary in which he has been keeping from 30 to over 100 live birds of various species.
"
53,Stanley Boxer,"Stanley Boxer was an American artist best known for thickly painted abstract works of art. He was also an accomplished sculptor and print-maker.
"
54,Alex Hodge,Alex Hodge is an American contemporary artist who uses the medium of sculpture and clay as the conduit for processing her experience in the world.
55,Damien Hirst,"Damien Hirst is one of the most known and wealthiest living contemporary artists, creating notorious work that marked the art of Britain in the 1990s."
56,Clara Fialho,"Clara Fialho is a Brazilian-American artist known for her use of bold, bright colors that instinctively attract the eye to her work.
"
57,Susan Breen,"Susan Breen is an American artist who creates beautiful abstract paintings. Growing up in Buffalo, New York she showed interest in art from a very early age.
"
58,Dora Franco,Dora Franco is a famous Colombian photographer who started her career working in Fashion & Beauty and Interior photography.
59,Larry Zox,Lawrence Larry Zox was an American painter known for his work in the color field movement of the 1960s.
60,Pierre Muckensturm,"Pierre Muckensturm is a French abstract artist whose visual language is built around softly textured surfaces and a muted, black and white palette.
"
61,Jane Waterous,Jane Waterous is an internationally acclaimed Canadian contemporary artist whose work spans an array of mediums and techniques.
