,artist_bios
0,"Born in a coastal city in Ecuador, Ricky Cohete mainly grew up in Miami. He was inspired to explore photography due to mesmerizing Florida's lights."
1,Silvana Soriano is a Brazilian artist who considers narrative as the main idea in her work. Line and gesture also play an important role.
2,"John Van Alstine is an American contemporary artist known for his sculptures made of stone and metal, usually granite or slate, and found object steel."
3,"Jimmy Nelson, born in Sevenoaks, Kent, in 1967, is a British photojournalist and photographer known for his portraits of tribal and indigenous peoples."
4,Aurora Molina is a Cuban fiber artist whose recent work has become more political because of the hyper politicization of our environment today.
5,"Believing the simplicity is the ultimate sophistication, Randal Ford is an American photographer best known for his studio portraits of animals."
6,"Andrew Warhola, better known as Andy Warhol, was one of the most significant American artists and a central figure in the Pop Art movement."
7,"Hunter & Gatti is a creative duo consisting of Cristian Borillo and Martin Cespedes, known for their innovative outlook on art, film, and photography."
8,"Franck de las Mercedes is a Nicaraguan/American artist influenced by abstract expressionism, rock carvings, neo-expressionism, and Nicaraguan primitivism."
9,Columbian photographer Javier Ray creates works that explore the sensuality of the male body and the repeated elements of urban cities.
10,"Eric Dever initially used a limited color palette and tight grids, later introducing the entire color spectrum and loose shapes into his work.
"
11,"Heavily influenced by painting and considering cameras as his paintbrushes, Kyriakos Kaziras is a Greek photographer known for his pictorial approach."
12,"Thomas Ruff is a German artist internationally acclaimed for his explorations of photography in serial works, portraits, and, most recently, digital images. 
"
13,"Andrea Bonfils is an American artist whose practice includes mixed media, photography, and encaustics and is driven by a desire to evoke sensation."
14,"Naomi White is an American abolitionist feminist, artist, and educator, working on ideas at the intersection of political ecology and photography."
15,"One of the most known artists of the 20th century, Pablo Picasso marked the artistic history with his prolific pieces varying in style and technique."
16,"Leslie Sheryll is an American artist who explores female identity in a male-centric society, often incorporating nineteenth-century history and symbolism."
17,"Known for their romantic and stylish photographs, Formento & Formento explore love, loss, uncanny and perverse, longing, and the burden of memory."
18,"Mel Ramos was an American Pop artist most famous for his comic-book and pin-up style images and sculptures of naked, voluptuous females."
19,"An American abstract artist, Ann Purcell works within tensions of paradox, ambiguity, duality and contradiction, while focusing on the working process."
20,"A Spanish artist of great critical acclaim, Joan Miro was one of the key representatives of Surrealism that refused to identify himself as such.
"
21,"Raised as a first-generation Greek/American, Christos J. Palios is a photographer whose personal perspectives were forger by two distinct cultures."
22,"Salvador Dali was a Spanish Surrealist painter, one of the most famous, interesting, eccentric and talked-about personalities in the art history.
"
23,"Caroline Christie is a Scottish-born contemporary painter and photographer, best known for her photographs of wild horses."
24,"Roy Ahlgren was an American abstract artist whose compositions were unique with many being mathematically constructed with considerable precision.
"
25,"Khotan Fernandez is a Mexican contemporary artist working in several disciplines – painting, drawing, sculpture, and installation."
26,"Dan Christensen was an American abstract painter associated with Color Field painting, Lyrical Abstraction and Abstract Expressionism.
"
27,"Josef Albers was a German painter and color theorist, known for Homage to the Square, a series of paintings exploring the artistic language of colors.
"
28,"Tyler Shields is a Los Angeles-based photographer, film director and writer best known for his provocative images of Hollywood celebrities. 
"
29,"David Yarrow is a British photographer, an ex-businessman, now famous for his black and white images of endangered animals and remote landscapes."
30,"Manuel Santelices is a Chilean artist and journalist who explores the worlds of fashion, society and pop culture. He lives and works in New York."
31,"Walter Darby Bannard was an American abstract painter, notable curator and writer on art. 
"
32,"David Shrigley is a Glasgow-based British artist best known for his illustrations that make satirical comments on mundane situations.
"
33,"Guilherme Licurgo is a Brazilian photographer. He was invited to model for Terry Richardson for his book ""Terry Richardson Rio Cidade Maravilhosa"" in 2008."
34,"Miguel Winograd is a Colombian photographer whose work explores the relationship between people and their environment, and narratives of social conflict."
35,Peter Andrew Lusztyk is a Canadian artist who uses photography to turn ordinary and overlooked things into something beautiful and full of details.
36,Uwe Ommer is a German photographer. His biggest project was based on the idea of documenting all types of families on every continent.
37,Andrew Prokos is an American fine art photographer whose works incorporate architectural elements and sweeping natural and urban views.
38,"Magda von Hanau is a Brazilian artist who works in drawing, photography, installations, and sculpture; spanning movements, mediums, and cultures."
39,"Terry O'Neill was an English photographer. He gained renown documenting the fashions, styles, and celebrities of the 1960s."
40,"Brian Donnelly aka KAWS is an American artist best known for designing limited edition toys and clothing, inspired by the iconic pop culture characters.
"
41,Md Tokon is a Bangladesh-born and New York-based contemporary painter whose works are purely abstract and have a great touch of impressionism.
42,"Widely known for his fashion-related photos and Vogue association, Horst P. Horst is one of the monumental photographers of the 20th century.
"
43,"Kyong Lee is a Korean abstract artist whose work reconciles physical and emotional realities through an exploration of color, material, process, and form.
"
44,"Natasha Zupan is an American artist whose work explores the manipulation of surface texture, light and the interweaving of time."
45,Mauricio Velez is a Colombian photographer whose images are meant to refine the sensitivity and perception of the viewer towards art and the human body.
46,David Burdeny is a Canadian photographer whose works occupy an artistic middle ground between the concrete and the spiritual.
