,artist_links
0,https://www.widewalls.ch/artists/ricky-cohete
1,https://www.widewalls.ch/artists/silvana-soriano
2,https://www.widewalls.ch/artists/john-van-alstine
3,https://www.widewalls.ch/artists/jimmy-nelson
4,https://www.widewalls.ch/artists/aurora-molina
5,https://www.widewalls.ch/artists/randal-ford
6,https://www.widewalls.ch/artists/andy-warhol
7,https://www.widewalls.ch/artists/hunter-and-gatti
8,https://www.widewalls.ch/artists/franck-de-las-mercedes
9,https://www.widewalls.ch/artists/javier-rey
10,https://www.widewalls.ch/artists/eric-dever
11,https://www.widewalls.ch/artists/kyriakos-kaziras
12,https://www.widewalls.ch/artists/thomas-ruff
13,https://www.widewalls.ch/artists/andrea-bonfils
14,https://www.widewalls.ch/artists/naomi-white
15,https://www.widewalls.ch/artists/pablo-picasso
16,https://www.widewalls.ch/artists/leslie-sheryll
17,https://www.widewalls.ch/artists/formento-formento
18,https://www.widewalls.ch/artists/mel-ramos
19,https://www.widewalls.ch/artists/ann-purcell
20,https://www.widewalls.ch/artists/joan-miro
21,https://www.widewalls.ch/artists/christos-j-palios
22,https://www.widewalls.ch/artists/salvador-dali
23,https://www.widewalls.ch/artists/caroline-christie
24,https://www.widewalls.ch/artists/roy-ahlgren
25,https://www.widewalls.ch/artists/khotan-fernandez
26,https://www.widewalls.ch/artists/dan-christensen
27,https://www.widewalls.ch/artists/josef-albers
28,https://www.widewalls.ch/artists/tyler-shields
29,https://www.widewalls.ch/artists/david-yarrow
30,https://www.widewalls.ch/artists/manuel-santelices
31,https://www.widewalls.ch/artists/walter-darby-bannard
32,https://www.widewalls.ch/artists/david-shrigley
33,https://www.widewalls.ch/artists/guilherme-licurgo
34,https://www.widewalls.ch/artists/miguel-winograd
35,https://www.widewalls.ch/artists/peter-andrew-lusztyk
36,https://www.widewalls.ch/artists/uwe-ommer
37,https://www.widewalls.ch/artists/andrew-prokos
38,https://www.widewalls.ch/artists/magda-von-hanau
39,https://www.widewalls.ch/artists/terry-oneill
40,https://www.widewalls.ch/artists/kaws
41,https://www.widewalls.ch/artists/md-tokon
42,https://www.widewalls.ch/artists/horst-p-horst
43,https://www.widewalls.ch/artists/kyong-lee
44,https://www.widewalls.ch/artists/natasha-zupan
45,https://www.widewalls.ch/artists/mauricio-velez
46,https://www.widewalls.ch/artists/david-burdeny
47,https://www.widewalls.ch/artists/chad-kleitsch
48,https://www.widewalls.ch/artists/markus-klinko
49,https://www.widewalls.ch/artists/arslan-sukan
50,https://www.widewalls.ch/artists/rick-lewis
51,https://www.widewalls.ch/artists/jose-sierra
52,https://www.widewalls.ch/artists/alice-de-kruijs
53,https://www.widewalls.ch/artists/raymond-hendler
54,https://www.widewalls.ch/artists/margaret-morrison
55,https://www.widewalls.ch/artists/dimitri-likissas
56,https://www.widewalls.ch/artists/robert-indiana
57,https://www.widewalls.ch/artists/hunt-slonem
58,https://www.widewalls.ch/artists/stanley-boxer
59,https://www.widewalls.ch/artists/damien-hirst
60,https://www.widewalls.ch/artists/alex-hodge
61,https://www.widewalls.ch/artists/linling-lu
62,https://www.widewalls.ch/artists/clara-fialho
63,https://www.widewalls.ch/artists/angelica-tcherassi
64,https://www.widewalls.ch/artists/dora-franco
65,https://www.widewalls.ch/artists/susan-breen
66,https://www.widewalls.ch/artists/larry-zox
67,https://www.widewalls.ch/artists/james-lewin
68,https://www.widewalls.ch/artists/isabelle-van-zeijl
69,https://www.widewalls.ch/artists/jane-waterous
70,https://www.widewalls.ch/artists/pierre-muckensturm
71,https://www.widewalls.ch/artists/dmitri-wright
72,https://www.widewalls.ch/artists/frederick-j-brown
73,https://www.widewalls.ch/artists/koray-erkaya
74,https://www.widewalls.ch/artists/jorge-mendez-blake
75,https://www.widewalls.ch/artists/paloma-castello
76,https://www.widewalls.ch/artists/syd-solomon
77,https://www.widewalls.ch/artists/james-walsh
78,https://www.widewalls.ch/artists/won-lee
79,https://www.widewalls.ch/artists/kyle-andrew-szpyrka
80,https://www.widewalls.ch/artists/mira-schendel
81,https://www.widewalls.ch/artists/paul-snell
82,https://www.widewalls.ch/artists/armando-de-la-garza
83,https://www.widewalls.ch/artists/luca-artioli
84,https://www.widewalls.ch/artists/michael-knigin
85,https://www.widewalls.ch/artists/anthony-james
86,https://www.widewalls.ch/artists/alex-katz
87,https://www.widewalls.ch/artists/billy-ma
88,https://www.widewalls.ch/artists/francesca-piqueras
89,https://www.widewalls.ch/artists/margaret-roleke
