,artist_names
0,Ricky Cohete
1,Silvana Soriano
2,John Van Alstine
3,Jimmy Nelson
4,Aurora Molina
5,Randal Ford
6,Andy Warhol
7,Hunter & Gatti
8,Franck de las Mercedes
9,Javier Rey
10,Eric Dever
11,Kyriakos Kaziras
12,Thomas Ruff
13,Andrea Bonfils
14,Naomi White
15,Pablo Picasso
16,Leslie Sheryll
17,Formento & Formento
18,Mel Ramos
19,Ann Purcell
20,Joan Miro
21,Christos J. Palios
22,Salvador Dali
23,Caroline Christie
24,Roy Ahlgren
25,Khotan Fernandez
26,Dan Christensen
27,Josef Albers
28,Tyler Shields
29,David Yarrow
30,Manuel Santelices
31,Walter Darby Bannard
32,David Shrigley
33,Guilherme Licurgo
34,Miguel Winograd
35,Peter Andrew Lusztyk
36,Uwe Ommer
37,Andrew Prokos
38,Magda von Hanau
39,Terry O'Neill
40,KAWS
41,Md Tokon
42,Horst P. Horst
43,Kyong Lee
44,Natasha Zupan
45,Mauricio Velez
46,David Burdeny
47,Chad Kleitsch
48,Markus Klinko
49,Arslan Sukan
50,Rick Lewis
51,Jose Sierra
52,Alice de Kruijs
53,Raymond Hendler
54,Margaret Morrison
55,Dimitri Likissas
56,Robert Indiana
57,Hunt Slonem
58,Stanley Boxer
59,Damien Hirst
60,Alex Hodge
61,Linling Lu
62,Clara Fialho
63,Angelica Tcherassi
64,Dora Franco
65,Susan Breen
66,Larry Zox
67,James Lewin
68,Isabelle van Zeijl
69,Jane Waterous
70,Pierre Muckensturm
71,Dmitri Wright
72,Frederick J. Brown
73,Koray Erkaya
74,Jorge Mendez Blake
75,Paloma Castello
76,Syd Solomon
77,James Walsh
78,Won Lee
79,Kyle Andrew Szpyrka
80,Mira Schendel
81,Paul Snell
82,Armando de la Garza
83,Luca Artioli
84,Michael Knigin
85,Anthony James
86,Alex Katz
87,Billy Ma
88,Francesca Piqueras
89,Margaret Roleke
90,Peter Max
91,Mr. Brainwash
92,Marc Lagrange
93,Frank Wimberley
94,Celso Jose Castro Daza
95,AKET
96,Rodrigo Spinel
97,Nikolaos Schizas
98,Mark Jackson
99,Jeff Koons
100,Gabriel Rico
101,Susan Woldman
102,John Opper
103,Alice Zilberberg
104,Seb Janiak
105,Martin Reyna
106,Charo Oquet
107,Cecilia Arrospide
108,Erro
109,Lowell Nesbitt
110,Matt Siren
111,Macha Poynder
112,William Perehudoff
113,Paul Manes
114,Ana Seggiaro
115,Konstantin Bokov
116,Silvia Yapur
117,Keith Haring
118,Matt Mullican
119,Roberto Matta
120,Alexander Calder
121,Jill Nathanson
122,Troy House
123,Laura Marsh
124,Mario Rossi
125,Daniel Gottin
126,Mark Kostabi
127,Jill Baroff
128,Martin Kline
129,Katika
130,Liz Leggett
131,Stephen Pace
132,Roberto Fonfria
133,Shepard Fairey
134,James Rosenquist
135,Charlotte Park
136,Joel Urruty
137,Deborah Bigeleisen
138,Albert Llobet Portell
139,Lea Bon
140,Ken Greenleaf
141,Edward Zutrau
142,Michael James O’Brien
143,Shine Huang
144,Vicky Martin
145,Demis Martinelli
146,Xan Padron
147,Jessica Stockholder
148,Sophie Calle
149,Yari Ostovany
150,Carroll Dunham
151,Marc Chagall
152,Matthieu Venot
153,John Goodyear
154,Gerald Williams
155,David Jay
156,Mabelin Castellanos
157,Margaret Ann Withers
158,Jitka Hanzlova
159,Risaburo Kimura
160,Rosana Machado Rodriguez
161,Deborah Kass
162,Sylvie Blum
163,Terry Winters
164,Bruno Munari
165,Andrew Rucklidge
166,Jacquelyn Thunfors
167,Kathleen Hope
168,Kyohei Inukai
169,Monika Bravo
170,Stefano Ogliari Badessi
171,Stefana McClure
172,Max Steven Grossman
173,Daniel Arsham
174,Alan Johnston
175,JeeYoung Lee
176,Adrienn Krahl
177,Sarah J. & Sally A. Edwards
178,Ramon Santiago
179,Casey Waterman
180,Daru
181,Carol Erb
182,Natalia Schonowski
183,David Hockney
184,Wolf Kahn
185,Richard Anuszkiewicz
186,Donald Sultan
187,Theo Tobiasse
188,Chen Fei
189,Joannis Avramidis
190,Arvid Boecker
191,Robert Rauschenberg
192,Peter Doig
193,Antoni Tapies
194,Dana Gordon
195,Olivier Valsecchi
