,id,media,artist_name,work_name,work_year,gallery_name,gallery_url,price,img_url,artist_website,artist_ins,nationality,education,location,color1,color2,color3,color4,color_group1,color_group2,color_group3,color_group4,class
0,painting15,painting,Hebru Brantley,"Death Of The Black Fairy, The Great Debate Pt. 5",2020,Corridor Contemporary,https://www.artsy.net/partner/corridor-contemporary,125000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=600&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F03VidwQCDEq-r0T3Ck3CcA%2Fnormalized.jpg,www.hebrubrantley.com,https://www.instagram.com/hebrubrantley/?hl=en,Japanese,Clark Atlanta University,Chicago,#E7DFCC,#A69784,#403931,#877C76,682.0,850.0,37.0,772.0,post-minimalism
1,prints369,prints,Hebru Brantley,Flower N Word,2022,Pinto Gallery,https://www.artsy.net/partner/pinto-gallery,7500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=625&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fx881fU_vibFLxdeckBCoQA%2Fnormalized.jpg,www.hebrubrantley.com,https://www.instagram.com/hebrubrantley/?hl=en,Japanese,Clark Atlanta University,Chicago,#FFFFFF,#FCE44C,#65C94D,#2E3432,965.0,50.0,579.0,858.0,post-minimalism
2,prints826,prints,Hebru Brantley,Monoprint,2017,MODCLAIR,https://www.artsy.net/partner/modclair,10995.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=642&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FVMkCSONTvJ1ifCfIJMW7wQ%2Fnormalized.jpg,www.hebrubrantley.com,https://www.instagram.com/hebrubrantley/?hl=en,Japanese,Clark Atlanta University,Chicago,#1F201B,#F4EDDB,#B1865C,#CBBBAB,128.0,570.0,656.0,580.0,street-art
3,photography133,photography,Hebru Brantley,Night Flight,2021,Heritage: Urban Art,https://www.artsy.net/auction/heritage-urban-art-41,2500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=800&height=643&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F4HN-6opZDD7eiVYwfxJYwA%2Fnormalized.jpg,www.hebrubrantley.com,https://www.instagram.com/hebrubrantley/?hl=en,Japanese,Clark Atlanta University,Chicago,#161E21,#02855D,#1A5747,#6FBA9B,583.0,452.0,21.0,777.0,transavantgarde
4,painting37,painting,Miaz Brothers,Maestro,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=639&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FC8CkTBthzSHZY08MLF0zFA%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#181A15,#2F342E,#43492F,#B8A36C,942.0,350.0,970.0,759.0,minimalism
5,painting52,painting,Miaz Brothers,A Promising Young Man,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=621&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQNF9BGQ3CjylysjRBNb6bw%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#13140F,#5B4329,#2C2D27,#A47C41,61.0,902.0,688.0,363.0,minimalism
6,painting58,painting,Miaz Brothers,A Peaceful Mind,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,25000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=799&height=658&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F1bJAtOHennfjd1TKE9aF1Q%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#191917,#36251D,#373934,#BCB797,774.0,229.0,573.0,507.0,minimalism
7,painting63,painting,Miaz Brothers,Before The Storm,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=625&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FRmZlWjhfswv8b4ww0gSU0Q%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#31322C,#0F100B,#864B1F,#B54C1F,863.0,530.0,177.0,717.0,contemporary-realism
8,painting83,painting,Miaz Brothers,Gentleman In Black IV,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=617&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FWPk1hNW91wGYrrCmf-bUAg%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#2E2E2C,#6D6E68,#9F9E99,#151513,325.0,763.0,382.0,271.0,light-and-space
9,painting104,painting,Miaz Brothers,Gentleman In Black I,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=617&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FzhfyG1a6TIxO46-y6Z9Nsg%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#252525,#6D6E69,#444442,#8C8D88,349.0,31.0,285.0,483.0,minimalism
10,painting168,painting,Miaz Brothers,Gentleman In Black II,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=617&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FprvytyZt0-IbIuTbc9y-1Q%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#2A2A2A,#83847F,#454543,#626260,38.0,35.0,491.0,166.0,contemporary-realism
11,painting300,painting,Miaz Brothers,A Promising Young Woman,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,17500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=635&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FAdnWEAwwAO6MAGzmZf-eAw%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#13140F,#3F4B3F,#2A2E20,#694C20,61.0,346.0,831.0,881.0,new-european-painting
12,painting762,painting,Miaz Brothers,Portrait of a Gentleman IX,2021,Danysz Gallery,https://www.artsy.net/partner/danysz-gallery,14560.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=623&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fjs86YAPIste8yA9x9zHYkg%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#342C29,#625147,#BD885C,#EDCDB6,704.0,553.0,845.0,54.0,contemporary-realism
13,prints1076,prints,Miaz Brothers,Royal Blue,2022,Maddox Gallery,https://www.artsy.net/partner/maddox-gallery,1900.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=622&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FvdWIyVjLjhs3efGsqGHqwg%2Fnormalized.jpg,www.miazbrothers.com,https://www.instagram.com/miazbrothers/?hl=en,Italian,European Institute of Design,Cyan,#D4CCC1,#57839C,#6FA2C1,#AAA9A4,11.0,496.0,518.0,972.0,light-and-space
14,painting41,painting,Sandra Chevrier,La cage où le brouillard traverse l’esprit,2017,West Chelsea Contemporary,https://www.artsy.net/partner/west-chelsea-contemporary-1,5000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=800&height=768&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F6iXBZQgdBLRzr7OtGn0zOA%2Fnormalized.jpg,www.sandrachevrier.com,https://www.instagram.com/sandrachevrier/?hl=en,Canadian,,Montreal,#7F7262,#9E9181,#FFFFFF,#D2C9B8,692.0,197.0,965.0,29.0,contemporary-realism
15,prints23,prints,Sandra Chevrier,"La Cage, éclairer le gris",2022,Heritage: Urban Art,https://www.artsy.net/auction/heritage-urban-art-41,1000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=527&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F8IMfcE1T2CQUby9_xDjDAg%2Fnormalized.jpg,www.sandrachevrier.com,https://www.instagram.com/sandrachevrier/?hl=en,Canadian,,Montreal,#020202,#C5B3BF,#001220,#E4E4E4,392.0,101.0,586.0,265.0,street-art
16,prints566,prints,Sandra Chevrier,La Cage a L’Unisson,2020,MODCLAIR,https://www.artsy.net/partner/modclair,3400.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=615&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FK_NntstwzKzi1MSG9BuqcQ%2Fnormalized.jpg,www.sandrachevrier.com,https://www.instagram.com/sandrachevrier/?hl=en,Canadian,,Montreal,#E9E3D3,#292921,#4C4B47,#816B56,52.0,728.0,713.0,551.0,street-art
17,works-on-paper44,works-on-paper,Sandra Chevrier,"La Cage béatitude ravageuse, La Cage comme des chansons qui meurent, and La Cage et la fin d’une histoire, triptych (set of 3)",2022,Heritage: Urban Art,https://www.artsy.net/auction/heritage-urban-art-41,4000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=800&height=336&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F8ywIFFp8gD-KCBiZ-sFdMQ%2Fnormalized.jpg,www.sandrachevrier.com,https://www.instagram.com/sandrachevrier/?hl=en,Canadian,,Montreal,#BFB9AB,#E7E9E4,#666E70,#999D9C,456.0,456.0,498.0,26.0,minimalism
18,painting45,painting,Florian Eymann,BAYC Clueless Sailor,2022,Avant Gallery,https://www.artsy.net/partner/avant-gallery,11000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=619&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FqXhM9mR4tOlGgb8PzCBVKQ%2Fnormalized.jpg,www.florianeymann.com,https://www.instagram.com/florianeymann/?hl=en,French,,Auxerre,#191816,#B8B3A0,#4E443A,#857C6B,58.0,200.0,584.0,724.0,contemporary
19,painting172,painting,Florian Eymann,BAYC Jack Daniels,2022,Avant Gallery,https://www.artsy.net/partner/avant-gallery,11000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=615&height=799&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F3mHxwE2BZZNX7aYiQ4oXpQ%2Fnormalized.jpg,www.florianeymann.com,https://www.instagram.com/florianeymann/?hl=en,French,,Auxerre,#B9BCB5,#231F1C,#010000,#3E3A39,837.0,659.0,48.0,206.0,conceptual-art
20,works-on-paper1197,works-on-paper,Florian Eymann,Portrait 110719,2021,Pasqui Galerie,https://www.artsy.net/partner/pasqui-galerie,1768.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=651&height=799&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FSzpzhL9cFwM8es8Ul7xxeA%2Fnormalized.jpg,www.florianeymann.com,https://www.instagram.com/florianeymann/?hl=en,French,,Auxerre,#443F3C,#5F5D5E,#241C1A,#91726D,114.0,511.0,617.0,220.0,contemporary-realism
21,mixed-media1254,mixed-media,Florian Eymann,Portrait 190719,2021,Pasqui Galerie,https://www.artsy.net/partner/pasqui-galerie,1976.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=654&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FghGQ1GBlpyYg1dOF9m4EQA%2Fnormalized.jpg,www.florianeymann.com,https://www.instagram.com/florianeymann/?hl=en,French,,Auxerre,#CED4D4,#262B31,#7D7E82,#41464C,901.0,460.0,103.0,305.0,conceptual-art
22,painting65,painting,Mr. Brainwash,"'Love is the Answer' Balloon Girl, Unique Painting",2022,Arton Contemporary,https://www.artsy.net/partner/arton-contemporary,13000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=629&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FOLO92l-RPXDVFUEb7-l5ow%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#E8E8E8,#20211C,#C1C1C1,#6E6963,595.0,277.0,564.0,573.0,conceptual-art
23,painting86,painting,Mr. Brainwash,"'Beautiful' Follow Your Dreams Monkey, Unique Painting",2022,Arton Contemporary,https://www.artsy.net/partner/arton-contemporary,14000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=580&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FDKYyoMmsg1v_jYntjZtlAg%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#E5E5E5,#181415,#55525B,#F40000,652.0,646.0,947.0,133.0,street-art
24,painting91,painting,Mr. Brainwash,"'Follow Your Heart' Balloon Girl, Unique Painting",2022,Arton Contemporary,https://www.artsy.net/partner/arton-contemporary,14000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=800&height=569&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fh6E0HdZ4KeprgUi1hRqnZw%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#E2E2E2,#090708,#807772,#BEB3AF,644.0,23.0,415.0,591.0,contemporary-realism
25,painting100,painting,Mr. Brainwash,"'Work Well Together,' Unique Painting",2022,Arton Contemporary,https://www.artsy.net/partner/arton-contemporary,12500.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=632&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FsJbNtIj9YxTYqhnCxIfDlg%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#E1E1E1,#424450,#909090,#BEBEBE,363.0,9.0,326.0,27.0,street-art
26,painting208,painting,Mr. Brainwash,Retrospect,2013,Heritage: Urban Art,https://www.artsy.net/auction/heritage-urban-art-41,4000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=796&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FMNbNHy6WzCI_uAiUnYVmsg%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#11100E,#E8E9E3,#2C2B29,#474644,679.0,412.0,515.0,108.0,conceptual-art
27,prints89,prints,Mr. Brainwash,Flowarh$,2021,Rago Auctions: 20|21 Art,https://www.artsy.net/auction/rago-auctions-20-21-art-5,3000.0,https://d7hftxdivxxvm.cloudfront.net?resize_to=fit&width=800&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FqpKiafh5hplIY8DqabKPgw%2Fnormalized.jpg,www.mrbrainwash.com,https://www.instagram.com/mrbrainwash/?hl=en,Invader,,Los Angeles,#F3F3F3,#C30205,#D298CA,#E5D38B,55.0,710.0,68.0,558.0,conceptual-art
